date,nombre_tweets_par_jour,nombre_mentions_engie,nombre_tweets_critiques,auteurs_uniques,%_tweets_critiques,%_mentions_engie,semaine,nombre_tweets_par_semaine,mois,nombre_tweets_par_mois,heure,nombre_tweets_par_heure
2023-11-16,1.0,1,0,1.0,0.0,100.0,,,,,,
2023-11-26,1.0,1,0,1.0,0.0,100.0,,,,,,
2023-12-21,1.0,1,1,1.0,100.0,100.0,,,,,,
2023-12-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2023-12-29,4.0,4,0,3.0,0.0,100.0,,,,,,
2023-12-30,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-01-01,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-02,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-03,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-04,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-01-05,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-01-06,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-08,5.0,5,0,5.0,0.0,100.0,,,,,,
2024-01-09,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-10,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-01-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-12,4.0,4,0,4.0,0.0,100.0,,,,,,
2024-01-13,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-01-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-15,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-01-16,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-17,5.0,5,0,5.0,0.0,100.0,,,,,,
2024-01-19,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-20,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-01-21,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-01-22,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-01-23,1.0,0,0,1.0,0.0,0.0,,,,,,
2024-01-24,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-01-25,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-26,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-27,3.0,3,0,1.0,0.0,100.0,,,,,,
2024-01-30,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-01-31,6.0,6,1,6.0,16.67,100.0,,,,,,
2024-02-01,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-02-02,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-05,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-06,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-07,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-08,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-09,4.0,4,1,4.0,25.0,100.0,,,,,,
2024-02-10,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-12,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-02-13,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-02-14,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-15,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-17,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-19,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-02-20,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-02-21,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-22,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-02-23,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-02-25,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-26,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-02-27,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-02-28,8.0,8,1,7.0,12.5,100.0,,,,,,
2024-02-29,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-01,6.0,6,0,4.0,0.0,100.0,,,,,,
2024-03-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-04,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-03-05,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-06,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-07,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-08,6.0,6,0,5.0,0.0,100.0,,,,,,
2024-03-10,2.0,2,0,1.0,0.0,100.0,,,,,,
2024-03-11,1.0,1,1,1.0,100.0,100.0,,,,,,
2024-03-12,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-13,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-14,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-15,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-18,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-19,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-03-20,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-21,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-22,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-03-25,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-03-26,2.0,2,0,1.0,0.0,100.0,,,,,,
2024-03-27,4.0,4,0,4.0,0.0,100.0,,,,,,
2024-03-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-03-30,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-01,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-02,4.0,4,0,3.0,0.0,100.0,,,,,,
2024-04-03,5.0,5,0,5.0,0.0,100.0,,,,,,
2024-04-04,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-05,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-06,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-07,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-08,3.0,3,1,3.0,33.33,100.0,,,,,,
2024-04-09,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-04-10,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-04-11,2.0,2,0,2.0,0.0,100.0,,,,,,
