id,screen_name,name,created_at,full_text,tweet_id,heure,longueur_texte,presence_mots_cles,presence_mots_cles_critiques
"1,72517E+18",gptournier,Guillaume Tournier,2023-11-16 15:13:18,"@ENGIEpartFR 6 mois d’attente et tjs aucune réponse de l’agence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plate-forme tél et à entendre qu’on me rappelle Pour le numéro 1 du service client c’est dommage","1,72517E+18",15,279,True,False
"1,72868E+18",jouanetwan,Jouan Etwan 💚💛,2023-11-26 07:34:34,"Bonjour @ENGIEpartSAV, l’appli #monpilotageelec bug depuis hier, suis-je le seul dans ce cas ? Pas de bol, le premier jour où la température est négative.","1,72868E+18",7,154,True,False
"1,73784E+18",vince_thouvenin,thouvenin,2023-12-21 14:27:08,@ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'Amiens n'intervient pas malgré deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX ! ,"1,73784E+18",14,217,True,True
"1,74049E+18",BiduleAnatheme,Anathème Bidule,2023-12-28 21:32:58,"@ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ? Et non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la @dgccrf.","1,74049E+18",21,264,True,False
"1,74068E+18",vince_thouvenin,thouvenin,2023-12-29 10:08:10,"@ENGIEpartSAV retour de votre technicien ""vous n'avez pas d'eau chaude car vos mousseurs sont entartrés, ça crée des problème de pression "" l'intégralité de la robinetterie a deux ans, refaite à neuf. Vous ne respectez pas vos clients...","1,74068E+18",10,237,True,False
"1,74069E+18",dionombo,Zawarudo 😈,2023-12-29 11:13:42,@ENGIEpartFR Merci pour l'annulation d'entretien de dernière minute. Ça me met bien dans la merde... Quand au service client: ils ne comprennent rien. Je retiens la leçon....,"1,74069E+18",11,174,True,False
"1,74071E+18",hawaien88,hawaien88,2023-12-29 12:16:46,Je m’explique mal où c’est les personnes du chat qui ne comprennent rien ? C’est lunaire comme échange depuis hier !!! @ENGIEpartFR faites quelques choses !!! 1/9 https://t.co/wQoEEFycvo,"1,74071E+18",12,186,True,False
"1,74073E+18",hawaien88,hawaien88,2023-12-29 14:01:48,@ENGIEpartSAV Et c’est si compliqué d’expliquer ça? Vous pouvez supprimer le chat si ils sont pas formés pour répondre au question. Donc sur ma prochaine facture il n’y aura plus cette ligne? Donc cette partie correspond à la consommation de quelle période? Que je puisse vérifier dans ma bdd? ,"1,74073E+18",14,294,True,False
"1,7411E+18",Petit20850206,Petit,2023-12-30 13:55:44,"@ENGIEpartFR Bonjour, J'ai reçu un courrier de votre part le 29/12/2023 qui m'ordonne d'installer un compteur numérique avant le 01/01/2024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ? ","1,7411E+18",13,274,True,True
"1,7418E+18",Jules_brdn,🇷🇸 Ajde Ana! 🇷🇸,2024-01-01 12:45:32,"@ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que j’avais un contrat de 2 ans à 0,10 je viens de m’apercevoir aujourd’hui que la facture a triple !! ","1,7418E+18",12,220,True,False
"1,74187E+18",fhureau,François Hureau 🐦,2024-01-01 16:59:03,"Bonjour @ENGIEpartSAV, Alors que le prix repère moyen de vente du gaz publié par la @CRE_energie est passé de 0,10406€ à 0,09990€/KwH entre décembre et janvier, le prix de l'offre tranquillité est passé de 0,09686€ à 0,10230€ ? Quelle est votre formule d'indexation ? ","1,74187E+18",16,268,True,False
"1,74213E+18",AmirRamires,Ramirez,2024-01-02 10:24:08,@enedis @ENGIEgroup @ENGIEpartFR @enedis_clients @enedis_paris pour vous c’est normal de laisser des familles sans électricité ? Plus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’électricité En plein mois de janvier ou les températures sont basses ! ,"1,74213E+18",10,277,True,False
"1,74248E+18",AnneCremer2,Anne Cremer,2024-01-03 09:19:30,"@ENGIEpartFR: j'essaie de vous joindre depuis 48 h, impossible. J'ai envoyé un mail le 28.12, pas de réponse non plus. Je veux adapter le montant de mon forfait: impossible sur votre site.","1,74248E+18",9,188,True,False
"1,74256E+18",Eurpbo2016,Pbo,2024-01-03 14:40:58,@ENGIEpartFR bonjour mon épouse n’a plus accès à son compte particulier pour consulter ses factures. Comment faire ? Merci,"1,74256E+18",14,122,True,False
"1,74283E+18",hawaien88,hawaien88,2024-01-04 08:33:30,@ENGIEpartSAV Vous m’avez demandé de venir en privé pour qu’on ne voit pas que vous ne répondez plus. Ma facture est de septembre et vous me dites qu’il s’agit des consommations de septembre à décembre. J’attends toujours une explication.,"1,74283E+18",8,238,True,False
"1,74289E+18",bbast____,Bastos en brr,2024-01-04 12:31:53,N’ayant pas Twitter je passe par le compte d’un proche pour solliciter @ENGIEpartFR qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier. Comment débloquer cette situation qui me pèse depuis des mois ? ,"1,74289E+18",12,276,True,False
"1,7429E+18",chiquitamala,marga,2024-01-04 13:34:11,"@ENGIEpartSAV @ENGIEpartFR sommes arrivés à 624.32, je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique. Merci encore pour votre attention.","1,7429E+18",13,177,True,False
"1,74318E+18",WhoCares188,ÇA GIIIIIIVE🫦,2024-01-05 07:55:39,"Comme les afficher c’est ce qui marche, @ENGIEpartSAV @ENGIEpartFR, vous deviez me rembourser dans un délai de 15j max selon vos dires, ça va faire 2 mois que j’attends mes sous!!! ","1,74318E+18",7,181,True,True
"1,74321E+18",OPredhomme,Olivier Predhomme,2024-01-05 09:52:06,.@ENGIEpartFR déjà une semaine et demi sans nouvelle de votre part. Plus d’eau chaude. Plus de chauffage. On fait comment pour avoir une réponse??? C’est quoi ce service client??? @ENGIEgroup,"1,74321E+18",9,191,True,False
"1,74365E+18",AykCtk,PoAyko,2024-01-06 15:07:35,"@ENGIEpartFR Bonjour, Je vous ai envoyé un DM la semaine passée, sans aucune réponse de votre part. Pourriez-vous avoir l'amabilité de porter un intérêt à mes questions sur des factures qui s'élèvent à 280€ pour le mois de novembre ? App. de 67m2 entièrement refait à neuf","1,74365E+18",15,272,True,False
"1,74374E+18",Bonheur151,Bonheur15,2024-01-06 21:15:38,"@BrunoLeMaire deux questions: « moi, mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de l’électricité ?  »@ENGIEgroup augmenter l’abonnement de 35% c’est à cause de la guerre en Ukraine ou vs vs gavez bande de voleurs … J’attends vos retours ! https://t.co/iMj6ybI3lb","1,74374E+18",21,300,True,False
"1,74443E+18",jouanetwan,Jouan Etwan 💚💛,2024-01-08 19:01:43,"@ENGIEpartSAV Bonjour @ENGIEpartSAV, l’appli #monpilotageelec Nouveau bug, il fait -3 degrés #engie","1,74443E+18",19,99,True,False
