id;screen_name;created_at;full_text;sentiment;date;hour;day_of_week;text_length;contains_keywords
1;gptournier;2023-11-16 15:13:18+00:00;engiepartfr n6 mois dattente et tjs aucune réponse de lagence engie home service grand marseille à aubagne sur un devis malgré des multiples relances je reste coincé à appeler la plateforme tél et à entendre quon me rappellenpour le numéro 1 du service client cest dommage;Positif;2023-11-16;15;Thursday;272;False
2;jouanetwan;2023-11-26 07:34:34+00:00;bonjour engiepartsav  lappli monpilotageelec bug depuis hier suisje le seul dans ce cas  pas de bol  le premier jour où la température est négative;Neutre;2023-11-26;7;Sunday;147;False
3;vince_thouvenin;2023-12-21 14:27:08+00:00;engiepartfr mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence damiens nintervient pas malgré deux semaines de relances pour avoir de leau chaude  en plein hiver cest scandaleux;Négatif;2023-12-21;14;Thursday;208;False
4;BiduleAnatheme;2023-12-28 21:32:58+00:00;engiepartsav vous envisagez de vous occuper de lagence fantôme du secteur grand marseille un jour ou on va au tribunal net non je nenverrai pas un énième mail que vous ne traiterez pas vous avez une mise en demeure à traiter et un signalement à la dgccrf;Positif;2023-12-28;21;Thursday;254;False
5;vince_thouvenin;2023-12-29 10:08:10+00:00;engiepartsav retour de votre technicien vous navez pas deau chaude car vos mousseurs sont entartrés ça crée des problème de pression  lintégralité de la robinetterie a deux ans refaite à neuf vous ne respectez pas vos clients;Négatif;2023-12-29;10;Friday;225;False
6;dionombo;2023-12-29 11:13:42+00:00;engiepartfr merci pour lannulation dentretien de dernière minute ça me met bien dans la merde quand au service client ils ne comprennent rien je retiens la leçon;Neutre;2023-12-29;11;Friday;161;False
7;hawaien88;2023-12-29 12:16:46+00:00;je mexplique mal où cest les personnes du chat qui ne comprennent rien ncest lunaire comme échange depuis hier  engiepartfr faites quelques choses  19;Neutre;2023-12-29;12;Friday;150;False
8;hawaien88;2023-12-29 14:01:48+00:00;engiepartsav et cest si compliqué dexpliquer ça vous pouvez supprimer le chat si ils sont pas formés pour répondre au question donc sur ma prochaine facture il ny aura plus cette ligne donc cette partie correspond à la consommation de quelle période que je puisse vérifier dans ma bdd;Neutre;2023-12-29;14;Friday;284;False
9;Petit20850206;2023-12-30 13:55:44+00:00;engiepartfr bonjour jai reçu un courrier de votre part le 29122023 qui mordonne dinstaller un compteur numérique avant le 01012024 cest scandaleux  comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin dannée;Négatif;2023-12-30;13;Saturday;257;False
10;Jules_brdn;2024-01-01 12:45:32+00:00;engiepartsav urgent  une honte mon abonnement est passé à 032 du kwh  merci de me répondre urgemment  alors que javais un contrat de 2 ans à 010 je viens de mapercevoir aujourdhui que la facture a triple;Neutre;2024-01-01;12;Monday;203;False
11;fhureau;2024-01-01 16:59:03+00:00;bonjour engiepartsav alors que le prix repère moyen de vente du gaz publié par la creenergie  est passé de 010406 à 009990kwh entre décembre et janvier le prix de loffre tranquillité est passé de 009686 à 010230  quelle est votre formule dindexation;Neutre;2024-01-01;16;Monday;249;False
12;AmirRamires;2024-01-02 10:24:08+00:00;enedis engiegroup engiepartfr enedisclients enedisparis pour vous cest normal de laisser des familles sans électricité nplus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service lélectricité nen plein mois de janvier ou les températures sont basses;Positif;2024-01-02;10;Tuesday;265;False
13;AnneCremer2;2024-01-03 09:19:30+00:00;engiepartfr  jessaie de vous joindre depuis 48 h impossible jai envoyé un mail le 2812 pas de réponse non plus je veux adapter le montant de mon forfait  impossible sur votre site;Négatif;2024-01-03;9;Wednesday;179;False
14;Eurpbo2016;2024-01-03 14:40:58+00:00;engiepartfr bonjour mon épouse na plus accès à son compte particulier pour consulter ses facturesncomment faire nmerci;Neutre;2024-01-03;14;Wednesday;118;False
15;hawaien88;2024-01-04 08:33:30+00:00;engiepartsav vous mavez demandé de venir en privé pour quon ne voit pas que vous ne répondez plus ma facture est de septembre et vous me dites quil sagit des consommations de septembre à décembre jattends toujours une explication;Neutre;2024-01-04;8;Thursday;229;False
16;bbast____;2024-01-04 12:31:53+00:00;nayant pas twitter je passe par le compte dun proche pour solliciter engiepartfr qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier comment débloquer cette situation qui me pèse depuis des mois;Neutre;2024-01-04;12;Thursday;269;False
17;chiquitamala;2024-01-04 13:34:11+00:00;engiepartsav engiepartfr sommes arrivés à 62432  je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique merci encore pour votre attention;Neutre;2024-01-04;13;Thursday;172;False
18;WhoCares188;2024-01-05 07:55:39+00:00;comme les afficher cest ce qui marche engiepartsav engiepartfr vous deviez me rembourser dans un délai de 15j max selon vos dires ça va faire 2 mois que jattends mes sous;Négatif;2024-01-05;7;Friday;170;True
19;OPredhomme;2024-01-05 09:52:06+00:00;engiepartfr déjà une semaine et demi sans nouvelle de votre part plus deau chaude plus de chauffage on fait comment pour avoir une réponse cest quoi ce service client engiegroup;Neutre;2024-01-05;9;Friday;177;False
20;AykCtk;2024-01-06 15:07:35+00:00;engiepartfr bonjournje vous ai envoyé un dm la semaine passée sans aucune réponse de votre part pourriezvous avoir lamabilité de porter un intérêt à mes questions sur des factures qui sélèvent à 280 pour le mois de novembre  app de 67m2 entièrement refait à neuf;Neutre;2024-01-06;15;Saturday;262;False
21;Bonheur151;2024-01-06 21:15:38+00:00;brunolemaire  deux questions  moi  mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de lélectricité  engiegroup augmenter labonnement de 35 cest à cause de la guerre en ukraine ou vs vs gavez bande de voleurs  jattends vos retours;Neutre;2024-01-06;21;Saturday;262;False
22;jouanetwan;2024-01-08 19:01:43+00:00;engiepartsav bonjour engiepartsav  lappli monpilotageelec   nouveau bug il fait 3 degrés engie;Neutre;2024-01-08;19;Monday;94;False
23;blacklicorne2;2024-01-08 19:05:22+00:00;engiepartsav monpilotageelec bonsoir l appli ne fonctionne pas ce soir testé sur plusieurs téléphones dès qu il fait froid on dirait que les serveurs plantent;Négatif;2024-01-08;19;Monday;158;False
24;Deer174229;2024-01-08 19:18:30+00:00;cest quand même curieux engiepartfr n chaque fois quil y a une vague de températures négatives lapplication mon pilotage élec est en rade ça fait 3 fois depuis le début de lhiver le pire cest quon te dit que tu nes pas connecté à internet je suis en 5ghz;Négatif;2024-01-08;19;Monday;254;False
25;CloBusnel;2024-01-08 21:20:58+00:00;merci engiepartfr pour son appli de réglage de chauffage connecté qui ne fonctionne pas encore durant cette vague de froid avec 2 enfants en bas âge;Négatif;2024-01-08;21;Monday;148;False
26;mecquiraletrop;2024-01-08 22:50:52+00:00;engiepartfr 4h que je peux rien faire avec votre appli et quil fait 4 dehorsndeuxième fois alors que je suis chez vous depuis 3 semaines va falloir mexpliquer là;Neutre;2024-01-08;22;Monday;161;False
27;ML09119902;2024-01-09 07:17:31+00:00;lappli monpilotageelec est toujours ko ce matin engiepartsav engiepartfr;Neutre;2024-01-09;7;Tuesday;72;False
